Model,Metric,Class,Mean,Std,Mean±Std
OCT,Sensitivity,Overall,0.7296200609622461,0.07119834281245536,0.7296±0.0712
OCT,Sensitivity,Normal,0.9196666666666667,0.06298588907225351,0.9197±0.0630
OCT,Sensitivity,Early AMD,0.3751914751914752,0.19873514555074717,0.3752±0.1987
OCT,Sensitivity,Intermediate AMD,0.8248410835742306,0.01671556500007878,0.8248±0.0167
OCT,Sensitivity,Advanced AMD,0.7987810184166116,0.0413976128954611,0.7988±0.0414
OCT,Specificity,Overall,0.9161691001156228,0.0117129815537507,0.9162±0.0117
OCT,Specificity,Normal,0.9936447275300779,0.005943205903467355,0.9936±0.0059
OCT,Specificity,Early AMD,0.9920300532573106,0.004106692859540068,0.9920±0.0041
OCT,Specificity,Intermediate AMD,0.795516990350282,0.04432832297936882,0.7955±0.0443
OCT,Specificity,Advanced AMD,0.8834846293248209,0.0212588467331117,0.8835±0.0213
OCT,F1-Score,Overall,0.743364688654839,0.06356590219060437,0.7434±0.0636
OCT,F1-Score,Normal,0.9189028132992327,0.031167590358496013,0.9189±0.0312
OCT,F1-Score,Early AMD,0.4568024132730015,0.19765808758228454,0.4568±0.1977
OCT,F1-Score,Intermediate AMD,0.7602832666314339,0.023815226125791154,0.7603±0.0238
OCT,F1-Score,Advanced AMD,0.8374702614156877,0.02498592494225904,0.8375±0.0250
OCT,AUC-ROC,Overall,0.9392938200971331,0.018396995581079444,0.9393±0.0184
OCT,AUC-ROC,Normal,0.9961960031004617,0.0030567606391256916,0.9962±0.0031
OCT,AUC-ROC,Early AMD,0.957451237631977,0.031848722664545796,0.9575±0.0318
OCT,AUC-ROC,Intermediate AMD,0.8810009070578367,0.02261803956401338,0.8810±0.0226
OCT,AUC-ROC,Advanced AMD,0.9225271325982574,0.019178328587899182,0.9225±0.0192
BIO,Sensitivity,Overall,0.7836828865373742,0.052274843370751375,0.7837±0.0523
BIO,Sensitivity,Normal,0.8376666666666667,0.04806823853185756,0.8377±0.0481
BIO,Sensitivity,Early AMD,0.6507659007659008,0.17312873139198412,0.6508±0.1731
BIO,Sensitivity,Intermediate AMD,0.7598222012571009,0.042456135356110716,0.7598±0.0425
BIO,Sensitivity,Advanced AMD,0.8864767774598283,0.029718774738468894,0.8865±0.0297
BIO,Specificity,Overall,0.9277590979774658,0.010241390824441792,0.9278±0.0102
BIO,Specificity,Normal,0.984092609442928,0.003912893424764856,0.9841±0.0039
BIO,Specificity,Early AMD,0.9785723475016204,0.012713759607073397,0.9786±0.0127
BIO,Specificity,Intermediate AMD,0.8893973104592433,0.01811049881554434,0.8894±0.0181
BIO,Specificity,Advanced AMD,0.8589741245060714,0.022259578524277148,0.8590±0.0223
BIO,F1-Score,Overall,0.7674900865209703,0.054731613865547125,0.7675±0.0547
BIO,F1-Score,Normal,0.8210089243244468,0.04107818967544875,0.8210±0.0411
BIO,F1-Score,Early AMD,0.5902142037485656,0.1425268611721048,0.5902±0.1425
BIO,F1-Score,Intermediate AMD,0.7799615699021472,0.03409123207872499,0.7800±0.0341
BIO,F1-Score,Advanced AMD,0.8787756481087218,0.015476315839911667,0.8788±0.0155
BIO,AUC-ROC,Overall,0.9516157885902912,0.014383765739924467,0.9516±0.0144
BIO,AUC-ROC,Normal,0.9878523236612409,0.00483084306896529,0.9879±0.0048
BIO,AUC-ROC,Early AMD,0.9796720986561139,0.011310202964568907,0.9797±0.0113
BIO,AUC-ROC,Intermediate AMD,0.8996545462362799,0.02920053551688217,0.8997±0.0292
BIO,AUC-ROC,Advanced AMD,0.9392841858075298,0.013791651573765233,0.9393±0.0138
